SampleID	Region_Sequenced	Year	Jday	Date	Crop_Type	Location	Sampler_Type	SamplerNo	Control	PosNeg	NoReads	SequenceID	SampleType	GenericID
T02_198_ITS1	ITS1	2019	198	17-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_199_ITS1	ITS1	2019	199	18-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_200_ITS1	ITS1	2019	200	19-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_201_ITS1	ITS1	2019	201	20-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_202_ITS1	ITS1	2019	202	21-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_203_ITS1	ITS1	2019	203	22-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_204_ITS1	ITS1	2019	204	23-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_205_ITS1	ITS1	2019	205	24-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_206_ITS1	ITS1	2019	206	25-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_207_ITS1	ITS1	2019	207	26-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_208_ITS1	ITS1	2019	208	27-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_209_ITS1	ITS1	2019	209	28-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_210_ITS1	ITS1	2019	210	29-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_211_ITS1	ITS1	2019	211	30-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_212_ITS1	ITS1	2019	212	31-Jul-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_213_ITS1	ITS1	2019	213	1-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_214_ITS1	ITS1	2019	214	2-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_215_ITS1	ITS1	2019	215	3-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_216_ITS1	ITS1	2019	216	4-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_217_ITS1	ITS1	2019	217	5-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_218_ITS1	ITS1	2019	218	6-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_219_ITS1	ITS1	2019	219	7-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_220_ITS1	ITS1	2019	220	8-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_221_ITS1	ITS1	2019	221	9-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_222_ITS1	ITS1	2019	222	10-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_223_ITS1	ITS1	2019	223	11-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_224_ITS1	ITS1	2019	224	12-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_225_ITS1	ITS1	2019	225	13-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_226_ITS1	ITS1	2019	226	14-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_227_ITS1	ITS1	2019	227	15-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_228_ITS1	ITS1	2019	228	16-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_229_ITS1	ITS1	2019	229	17-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_230_ITS1	ITS1	2019	230	18-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_231_ITS1	ITS1	2019	231	19-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_232_ITS1	ITS1	2019	232	20-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_233_ITS1	ITS1	2019	233	21-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_234_ITS1	ITS1	2019	234	22-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_235_ITS1	ITS1	2019	235	23-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_236_ITS1	ITS1	2019	236	24-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_237_ITS1	ITS1	2019	237	25-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_238_ITS1	ITS1	2019	238	26-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_239_ITS1	ITS1	2019	239	27-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_240_ITS1	ITS1	2019	240	28-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T02_241_ITS1	ITS1	2019	241	29-Aug-19	Wheat	T02	Burkard	T02	No	NA	NA	NA	Burkard19	Wheat
T06_177_ITS1	ITS1	2019	177	26-Jun-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_178_ITS1	ITS1	2019	178	27-Jun-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_179_ITS1	ITS1	2019	179	28-Jun-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_180_ITS1	ITS1	2019	180	29-Jun-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_181_ITS1	ITS1	2019	181	30-Jun-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_182_ITS1	ITS1	2019	182	1-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_183_ITS1	ITS1	2019	183	2-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_184_ITS1	ITS1	2019	184	3-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_185_ITS1	ITS1	2019	185	4-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_186_ITS1	ITS1	2019	186	5-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_187_ITS1	ITS1	2019	187	6-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_188_ITS1	ITS1	2019	188	7-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_189_ITS1	ITS1	2019	189	8-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_190_ITS1	ITS1	2019	190	9-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_191_ITS1	ITS1	2019	191	10-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_192_ITS1	ITS1	2019	192	11-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_193_ITS1	ITS1	2019	193	12-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_194_ITS1	ITS1	2019	194	13-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_195_ITS1	ITS1	2019	195	14-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_196_ITS1	ITS1	2019	196	15-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_197_ITS1	ITS1	2019	197	16-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_198_ITS1	ITS1	2019	198	17-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_199_ITS1	ITS1	2019	199	18-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_200_ITS1	ITS1	2019	200	19-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_205_ITS1	ITS1	2019	205	24-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_206_ITS1	ITS1	2019	206	25-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_207_ITS1	ITS1	2019	207	26-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_210_ITS1	ITS1	2019	210	29-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_211_ITS1	ITS1	2019	211	30-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_212_ITS1	ITS1	2019	212	31-Jul-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_213_ITS1	ITS1	2019	213	1-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_214_ITS1	ITS1	2019	214	2-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_215_ITS1	ITS1	2019	215	3-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_216_ITS1	ITS1	2019	216	4-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_217_ITS1	ITS1	2019	217	5-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_218_ITS1	ITS1	2019	218	6-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_219_ITS1	ITS1	2019	219	7-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_220_ITS1	ITS1	2019	220	8-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_221_ITS1	ITS1	2019	221	9-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_222_ITS1	ITS1	2019	222	10-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_223_ITS1	ITS1	2019	223	11-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_224_ITS1	ITS1	2019	224	12-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_225_ITS1	ITS1	2019	225	13-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_226_ITS1	ITS1	2019	226	14-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_227_ITS1	ITS1	2019	227	15-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_228_ITS1	ITS1	2019	228	16-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_229_ITS1	ITS1	2019	229	17-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_230_ITS1	ITS1	2019	230	18-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_231_ITS1	ITS1	2019	231	19-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_232_ITS1	ITS1	2019	232	20-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_233_ITS1	ITS1	2019	233	21-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_234_ITS1	ITS1	2019	234	22-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_235_ITS1	ITS1	2019	235	23-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_236_ITS1	ITS1	2019	236	24-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_237_ITS1	ITS1	2019	237	25-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_238_ITS1	ITS1	2019	238	26-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_239_ITS1	ITS1	2019	239	27-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_240_ITS1	ITS1	2019	240	28-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_241_ITS1	ITS1	2019	241	29-Aug-19	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
T06_185_186_ITS1	ITS1	2019	185-186	NA	Wheat	T06	Burkard	T06	No	NA	NA	NA	Burkard19	Wheat
Ss_asco_1.54_ITS1_2021	ITS1	2021	NA	NA	Ascospore	NA	Burkard	NA	Yes	Pos	78811	Ss_asco_1.54_ITS1	Control	Ascospore
T02_186_ITS1_2021	ITS1	2021	186	5-Jul-21	Bean	NA	Burkard	02	No	NA	81254	T02_186_ITS1	Burkard21	Bean
T02_187_ITS1_2021	ITS1	2021	187	6-Jul-21	Bean	NA	Burkard	02	No	NA	79475	T02_187_ITS1	Burkard21	Bean
T02_188_ITS1_2021	ITS1	2021	188	7-Jul-21	Bean	NA	Burkard	02	No	NA	79734	T02_188_ITS1	Burkard21	Bean
T02_189_ITS1_2021	ITS1	2021	189	8-Jul-21	Bean	NA	Burkard	02	No	NA	76283	T02_189_ITS1	Burkard21	Bean
T02_190_ITS1_2021	ITS1	2021	190	9-Jul-21	Bean	NA	Burkard	02	No	NA	71244	T02_190_ITS1	Burkard21	Bean
T02_191_ITS1_2021	ITS1	2021	191	10-Jul-21	Bean	NA	Burkard	02	No	NA	65456	T02_191_ITS1	Burkard21	Bean
T02_192_ITS1_2021	ITS1	2021	192	11-Jul-21	Bean	NA	Burkard	02	No	NA	73594	T02_192_ITS1	Burkard21	Bean
T02_193_ITS1_2021	ITS1	2021	193	12-Jul-21	Bean	NA	Burkard	02	No	NA	79675	T02_193_ITS1	Burkard21	Bean
T02_194_ITS1_2021	ITS1	2021	194	13-Jul-21	Bean	NA	Burkard	02	No	NA	76549	T02_194_ITS1	Burkard21	Bean
T02_195_ITS1_2021	ITS1	2021	195	14-Jul-21	Bean	NA	Burkard	02	No	NA	79523	T02_195_ITS1	Burkard21	Bean
T02_196_ITS1_2021	ITS1	2021	196	15-Jul-21	Bean	NA	Burkard	02	No	NA	64346	T02_196_ITS1	Burkard21	Bean
T02_197_ITS1_2021	ITS1	2021	197	16-Jul-21	Bean	NA	Burkard	02	No	NA	70869	T02_197_ITS1	Burkard21	Bean
T02_198_9_ITS1_2021	ITS1	2021	198	17-Jul-21	Bean	NA	Burkard	02	No	NA	65893	T02_198_9_ITS1	Burkard21	Bean
T02_200_ITS1_2021	ITS1	2021	200	19-Jul-21	Bean	NA	Burkard	02	No	NA	61376	T02_200_ITS1	Burkard21	Bean
T02_201_ITS1_2021	ITS1	2021	201	20-Jul-21	Bean	NA	Burkard	02	No	NA	63898	T02_201_ITS1	Burkard21	Bean
T02_202_ITS1_2021	ITS1	2021	202	21-Jul-21	Bean	NA	Burkard	02	No	NA	64120	T02_202_ITS1	Burkard21	Bean
T02_203_ITS1_2021	ITS1	2021	203	22-Jul-21	Bean	NA	Burkard	02	No	NA	64142	T02_203_ITS1	Burkard21	Bean
T02_204_ITS1_2021	ITS1	2021	204	23-Jul-21	Bean	NA	Burkard	02	No	NA	66908	T02_204_ITS1	Burkard21	Bean
T02_205_ITS1_2021	ITS1	2021	205	24-Jul-21	Bean	NA	Burkard	02	No	NA	68552	T02_205_ITS1	Burkard21	Bean
T02_206_ITS1_2021	ITS1	2021	206	25-Jul-21	Bean	NA	Burkard	02	No	NA	66459	T02_206_ITS1	Burkard21	Bean
T02_207_ITS1_2021	ITS1	2021	207	26-Jul-21	Bean	NA	Burkard	02	No	NA	58165	T02_207_ITS1	Burkard21	Bean
T02_208_ITS1_2021	ITS1	2021	208	27-Jul-21	Bean	NA	Burkard	02	No	NA	63259	T02_208_ITS1	Burkard21	Bean
T02_209_ITS1_2021	ITS1	2021	209	28-Jul-21	Bean	NA	Burkard	02	No	NA	65444	T02_209_ITS1	Burkard21	Bean
T02_210_ITS1_2021	ITS1	2021	210	29-Jul-21	Bean	NA	Burkard	02	No	NA	66025	T02_210_ITS1	Burkard21	Bean
T02_212_ITS1_2021	ITS1	2021	212	31-Jul-21	Bean	NA	Burkard	02	No	NA	64810	T02_212_ITS1	Burkard21	Bean
T02_213_ITS1_2021	ITS1	2021	213	1-Aug-21	Bean	NA	Burkard	02	No	NA	72826	T02_213_ITS1	Burkard21	Bean
T02_214_ITS1_2021	ITS1	2021	214	2-Aug-21	Bean	NA	Burkard	02	No	NA	74927	T02_214_ITS1	Burkard21	Bean
T02_215_ITS1_2021	ITS1	2021	215	3-Aug-21	Bean	NA	Burkard	02	No	NA	68845	T02_215_ITS1	Burkard21	Bean
T02_216_ITS1_2021	ITS1	2021	216	4-Aug-21	Bean	NA	Burkard	02	No	NA	63105	T02_216_ITS1	Burkard21	Bean
T02_217_ITS1_2021	ITS1	2021	217	5-Aug-21	Bean	NA	Burkard	02	No	NA	69171	T02_217_ITS1	Burkard21	Bean
T02_218_ITS1_2021	ITS1	2021	218	6-Aug-21	Bean	NA	Burkard	02	No	NA	39184	T02_218_ITS1	Burkard21	Bean
T02_219_ITS1_2021	ITS1	2021	219	7-Aug-21	Bean	NA	Burkard	02	No	NA	34973	T02_219_ITS1	Burkard21	Bean
T02_220_ITS1_2021	ITS1	2021	220	8-Aug-21	Bean	NA	Burkard	02	No	NA	60921	T02_220_ITS1	Burkard21	Bean
T02_221_ITS1_2021	ITS1	2021	221	9-Aug-21	Bean	NA	Burkard	02	No	NA	73276	T02_221_ITS1	Burkard21	Bean
T02_222_ITS1_2021	ITS1	2021	222	10-Aug-21	Bean	NA	Burkard	02	No	NA	65951	T02_222_ITS1	Burkard21	Bean
T02_223_ITS1_2021	ITS1	2021	223	11-Aug-21	Bean	NA	Burkard	02	No	NA	72461	T02_223_ITS1	Burkard21	Bean
T02_224_ITS1_2021	ITS1	2021	224	12-Aug-21	Bean	NA	Burkard	02	No	NA	70715	T02_224_ITS1	Burkard21	Bean
T02_225_ITS1_2021	ITS1	2021	225	13-Aug-21	Bean	NA	Burkard	02	No	NA	76891	T02_225_ITS1	Burkard21	Bean
T02_226_ITS1_2021	ITS1	2021	226	14-Aug-21	Bean	NA	Burkard	02	No	NA	74846	T02_226_ITS1	Burkard21	Bean
T02_227_ITS1_2021	ITS1	2021	227	15-Aug-21	Bean	NA	Burkard	02	No	NA	64051	T02_227_ITS1	Burkard21	Bean
T08_188_ITS1_2021	ITS1	2021	188	7-Jul-21	Canola	NA	Burkard	08	No	NA	68653	T08_188_ITS1	Burkard21	Canola
T08_189_ITS1_2021	ITS1	2021	189	8-Jul-21	Canola	NA	Burkard	08	No	NA	71923	T08_189_ITS1	Burkard21	Canola
T08_190_ITS1_2021	ITS1	2021	190	9-Jul-21	Canola	NA	Burkard	08	No	NA	69897	T08_190_ITS1	Burkard21	Canola
T08_191_ITS1_2021	ITS1	2021	191	10-Jul-21	Canola	NA	Burkard	08	No	NA	65877	T08_191_ITS1	Burkard21	Canola
T08_193_ITS1_2021	ITS1	2021	193	12-Jul-21	Canola	NA	Burkard	08	No	NA	62371	T08_193_ITS1	Burkard21	Canola
T08_194_ITS1_2021	ITS1	2021	194	13-Jul-21	Canola	NA	Burkard	08	No	NA	57502	T08_194_ITS1	Burkard21	Canola
T08_195_ITS1_2021	ITS1	2021	195	14-Jul-21	Canola	NA	Burkard	08	No	NA	68481	T08_195_ITS1	Burkard21	Canola
T08_196_ITS1_2021	ITS1	2021	196	15-Jul-21	Canola	NA	Burkard	08	No	NA	58374	T08_196_ITS1	Burkard21	Canola
T08_197_ITS1_2021	ITS1	2021	197	16-Jul-21	Canola	NA	Burkard	08	No	NA	75964	T08_197_ITS1	Burkard21	Canola
T08_198_ITS1_2021	ITS1	2021	198	17-Jul-21	Canola	NA	Burkard	08	No	NA	73677	T08_198_ITS1	Burkard21	Canola
T08_199_ITS1_2021	ITS1	2021	199	18-Jul-21	Canola	NA	Burkard	08	No	NA	69919	T08_199_ITS1	Burkard21	Canola
T08_200_ITS1_2021	ITS1	2021	200	19-Jul-21	Canola	NA	Burkard	08	No	NA	79260	T08_200_ITS1	Burkard21	Canola
T08_201_ITS1_2021	ITS1	2021	201	20-Jul-21	Canola	NA	Burkard	08	No	NA	72984	T08_201_ITS1	Burkard21	Canola
T08_202_ITS1_2021	ITS1	2021	202	21-Jul-21	Canola	NA	Burkard	08	No	NA	74799	T08_202_ITS1	Burkard21	Canola
T08_203_ITS1_2021	ITS1	2021	203	22-Jul-21	Canola	NA	Burkard	08	No	NA	22650	T08_203_ITS1	Burkard21	Canola
T08_204_ITS1_2021	ITS1	2021	204	23-Jul-21	Canola	NA	Burkard	08	No	NA	69104	T08_204_ITS1	Burkard21	Canola
T08_205_ITS1_2021	ITS1	2021	205	24-Jul-21	Canola	NA	Burkard	08	No	NA	67747	T08_205_ITS1	Burkard21	Canola
T08_207_ITS1_2021	ITS1	2021	207	26-Jul-21	Canola	NA	Burkard	08	No	NA	57204	T08_207_ITS1	Burkard21	Canola
T08_208_ITS1_2021	ITS1	2021	208	27-Jul-21	Canola	NA	Burkard	08	No	NA	61235	T08_208_ITS1	Burkard21	Canola
T08_209_ITS1_2021	ITS1	2021	209	28-Jul-21	Canola	NA	Burkard	08	No	NA	61031	T08_209_ITS1	Burkard21	Canola
T08_210_ITS1_2021	ITS1	2021	210	29-Jul-21	Canola	NA	Burkard	08	No	NA	60728	T08_210_ITS1	Burkard21	Canola
T08_211_ITS1_2021	ITS1	2021	211	30-Jul-21	Canola	NA	Burkard	08	No	NA	53488	T08_211_ITS1	Burkard21	Canola
T08_212_ITS1_2021	ITS1	2021	212	31-Jul-21	Canola	NA	Burkard	08	No	NA	60977	T08_212_ITS1	Burkard21	Canola
T08_213_ITS1_2021	ITS1	2021	213	1-Aug-21	Canola	NA	Burkard	08	No	NA	61703	T08_213_ITS1	Burkard21	Canola
T08_214_ITS1_2021	ITS1	2021	214	2-Aug-21	Canola	NA	Burkard	08	No	NA	67243	T08_214_ITS1	Burkard21	Canola
T08_217_ITS1_2021	ITS1	2021	217	5-Aug-21	Canola	NA	Burkard	08	No	NA	67057	T08_217_ITS1	Burkard21	Canola
T08_218_ITS1_2021	ITS1	2021	218	6-Aug-21	Canola	NA	Burkard	08	No	NA	24349	T08_218_ITS1	Burkard21	Canola
T08_219_ITS1_2021	ITS1	2021	219	7-Aug-21	Canola	NA	Burkard	08	No	NA	67766	T08_219_ITS1	Burkard21	Canola
T08_220_ITS1_2021	ITS1	2021	220	8-Aug-21	Canola	NA	Burkard	08	No	NA	66044	T08_220_ITS1	Burkard21	Canola
T08_221_ITS1_2021	ITS1	2021	221	9-Aug-21	Canola	NA	Burkard	08	No	NA	61356	T08_221_ITS1	Burkard21	Canola
T08_222_ITS1_2021	ITS1	2021	222	10-Aug-21	Canola	NA	Burkard	08	No	NA	21665	T08_222_ITS1	Burkard21	Canola
T08_223_ITS1_2021	ITS1	2021	223	11-Aug-21	Canola	NA	Burkard	08	No	NA	67371	T08_223_ITS1	Burkard21	Canola
T08_224_ITS1_2021	ITS1	2021	224	12-Aug-21	Canola	NA	Burkard	08	No	NA	73464	T08_224_ITS1	Burkard21	Canola
T08_225_ITS1_2021	ITS1	2021	225	13-Aug-21	Canola	NA	Burkard	08	No	NA	66165	T08_225_ITS1	Burkard21	Canola
T08_226_ITS1_2021	ITS1	2021	226	14-Aug-21	Canola	NA	Burkard	08	No	NA	56048	T08_226_ITS1	Burkard21	Canola
FB_T08_229_ITS1_2021	ITS1	2021	229	17-Aug-21	FieldControlCanola	NA	Burkard	08	Yes	Neg	62987	FB_T08_229_ITS1	Control	FieldControl
FB_T08_231_ITS1_2021	ITS1	2021	231	19-Aug-21	FieldControlCanola	NA	Burkard	08	Yes	Neg	52401	FB_T08_231_ITS1	Control	FieldControl
FB_T12_229_ITS1_2021	ITS1	2021	229	17-Aug-21	FieldControlWheat	NA	Burkard	12	Yes	Neg	63434	FB_T12_229_ITS1	Control	FieldControl
FB_T12_231_ITS1_2021	ITS1	2021	231	19-Aug-21	FieldControlWheat	NA	Burkard	12	Yes	Neg	42679	FB_T12_231_ITS1	Control	FieldControl
H2O_ITS1_2021	ITS1	2021	NA	NA	H2OBlank	NA	Burkard	NA	Yes	Neg	43	H2O_ITS1	Control	WaterBlank
LabBlank01_ITS1_2021	ITS1	2021	NA	NA	LabBlank	NA	Burkard	NA	Yes	Neg	17404	LabBlank01_ITS1	Control	LabBlank
LabBlank02_ITS1_2021	ITS1	2021	NA	NA	LabBlank	NA	Burkard	NA	Yes	Neg	31107	LabBlank02_ITS1	Control	LabBlank
LabBlank03_ITS1_2021	ITS1	2021	NA	NA	LabBlank	NA	Burkard	NA	Yes	Neg	1945	LabBlank03_ITS1	Control	LabBlank
Mock4A_ITS1_2021	ITS1	2021	NA	NA	Mock	NA	Burkard	NA	Yes	Pos	71629	Mock4A_ITS1	Control	Mock
Mock4B_ITS1_2021	ITS1	2021	NA	NA	Mock	NA	Burkard	NA	Yes	Pos	79602	Mock4B_ITS1	Control	Mock
Mock5A_ITS1_2021	ITS1	2021	NA	NA	Mock	NA	Burkard	NA	Yes	Pos	73876	Mock5A_ITS1	Control	Mock
Mock5B_ITS1_2021	ITS1	2021	NA	NA	Mock	NA	Burkard	NA	Yes	Pos	72747	Mock5B_ITS1	Control	Mock
Mock6_ITS1_2021	ITS1	2021	NA	NA	Mock	NA	Burkard	NA	Yes	Pos	71658	Mock6_ITS1	Control	Mock
T12_188_ITS1_2021	ITS1	2021	188	7-Jul-21	Wheat	NA	Burkard	12	No	NA	65553	T12_188_ITS1	Burkard21	Wheat
T12_189_ITS1_2021	ITS1	2021	189	8-Jul-21	Wheat	NA	Burkard	12	No	NA	62530	T12_189_ITS1	Burkard21	Wheat
T12_190_ITS1_2021	ITS1	2021	190	9-Jul-21	Wheat	NA	Burkard	12	No	NA	36971	T12_190_ITS1	Burkard21	Wheat
T12_193_ITS1_2021	ITS1	2021	193	12-Jul-21	Wheat	NA	Burkard	12	No	NA	78299	T12_193_ITS1	Burkard21	Wheat
T12_194_ITS1_2021	ITS1	2021	194	13-Jul-21	Wheat	NA	Burkard	12	No	NA	70261	T12_194_ITS1	Burkard21	Wheat
T12_195_ITS1_2021	ITS1	2021	195	14-Jul-21	Wheat	NA	Burkard	12	No	NA	65216	T12_195_ITS1	Burkard21	Wheat
